is_fraud,id
1,a1ae7dd8-ada7-44ed-84c9-67b2fa4f6193
1,6897c421-0afd-4c3b-9325-45555670e991
1,7b627fd8-efd8-4122-99b1-3c136c662631
1,4b4485cf-fc7f-441f-b008-1c9122628972
1,99d78c22-484a-4dc0-b7e8-bec43a69461b
1,22e4daf7-807d-40d8-b4c5-3cdd393f6244
1,a0bcbf3f-2ce2-4e7c-bb5f-411ad02a804f
1,7449bbd3-4615-4f17-a408-54fb2eb49668
1,567af138-cb4c-40e4-82c8-11e792ba4e59
1,438476dd-1492-418e-a9e7-c75b3b7ee0c1
1,d1c3bf34-e3a9-459f-bef9-efab8335f292
1,0501d71b-12aa-4bfd-887c-0e2e90da8b69
1,dfac5764-3ae0-44ae-b8eb-70b8f6c3ebc4
1,7a1c74bf-4c98-4c3a-ad70-4603400d6760
1,d2913a98-7997-4c18-aadd-4a2038de3366
1,8ebb6205-d7d2-461f-b0c2-80f5aa5c827c
1,d5f681cd-ab8b-4f95-aa57-675b13180483
1,132f67b0-b3a7-4ff1-b42b-4b5f945f9a2e
1,e20a9d78-31a9-47a7-83bf-dd1cfe38342b
1,0482f15b-e414-4951-a205-cc62c1abbdb0
1,bef68460-875d-4c03-82c9-7fc80f8ede8f
1,b778b224-918f-42d2-8126-42f74086963a
1,2c087cad-90f3-449a-b6d9-e5d67a2f9c7b
1,cd50577a-bd4d-46b0-93ba-184f23e6c49c
1,7ff794a6-d147-4a85-8ca7-24ee9f5bb26f
1,cc6c184f-0c0b-4c3c-ad9a-4b84e8278c54
1,3c1811bf-4ae3-4b72-9649-9c8cbc54cf9b
1,5ecb0e8e-afeb-4f43-b939-5d1eada5e369
1,64eff1f7-a5b1-4683-b696-e5d3d9c50097
1,1c7f0982-9966-4ac0-8208-372fc58e33a4
1,b47b5df2-9be5-4983-87c6-ec3bca635963
1,d525e8e1-80a8-4362-8190-33455b777113
1,3bee4255-2e90-478e-966d-3048e4cbb349
1,c61fa641-d80f-4bfb-a1b5-b1b1069be173
1,50c49444-6328-471f-8fde-2e2e4e5ec098
1,62bfd5aa-a612-4ab2-b888-66cb4d3b41c6
1,b167fb65-aed4-4943-8f82-673fedb3e761
1,89afee6e-34b4-423d-b483-acee9f8a80e1
1,1aba0979-896b-4af3-a36d-2b6783e6f2d4
1,948c57b2-a1d9-4673-9859-4e806da387c6
1,1319d975-a20f-477a-a7c7-fed8998aa89e
1,8c1fab27-22d9-44b3-a10c-5750937a0ff4
1,fa46a5cc-dbe9-4d90-ba17-789ef380ff0b
1,a7e65a1c-af45-4262-92a7-9e15a984b1be
